,Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,CPU_USAGE_MEAN,CPU_FREQUENCY_MEAN,GPU_MEMORY_UTILIZATION,EDP
count,42.0,42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
mean,190.73809523809524,1970-01-01 00:29:00.617006674,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,28.898047583443777,10.175065540132069,15.037830534435454,3.894164494105748,18.843729473295667,17.420280274890718,21.781485148838588,5.070396423339844,11.374619166056315,8.256842476981026,8.824167978195916,16.471120016915457,15579.349000476655,4096.0,1856.0,51.76190476190476,52.166666666666664,106875.04526338124,73324.32922363281,1069.8767787388392,33873874944.0,5368709120.0,12709479472.761906,0.0,13.837312425885882,1706.0,45.3125,0.02039619312588646
min,0.0,1970-01-01 00:29:00.617002762,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,0.0,0.0,0.0,0.0,0.0,0.3175048828125,0.7849044799804688,0.0,0.0,0.0,0.0,0.0,15572.45770263672,4096.0,78.0,46.0,0.0,106783.01556396484,73248.94262695312,1068.0914916992188,33873874944.0,5368709120.0,11741499392.0,0.0,6.340854008992513,1706.0,1.904296875,0.0
25%,200.0,1970-01-01 00:29:00.617004616,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,15.340187072753906,1.4527339935302737,2.6556015014648438,0.9433174133300782,4.171590805053711,1.9556083679199219,4.597980499267578,0.8076953887939453,2.704296112060547,0.2634563446044922,1.0759315490722658,0.5442981719970703,15576.123275756838,4096.0,2094.0,49.0,21.0,106825.58143615721,73283.62503051758,1069.2474060058594,33873874944.0,5368709120.0,12613404672.0,0.0,10.302598396937052,1706.0,51.123046875,0.021370210217285156
50%,200.0,1970-01-01 00:29:00.617006670,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,24.068317413330078,2.333843231201172,5.635227203369141,2.0730438232421875,8.251495361328125,3.526988983154297,11.380241394042969,1.8471412658691406,7.2294921875,1.5361595153808594,3.754199981689453,2.346630096435547,15579.227722167969,4096.0,2156.0,53.0,58.0,106870.98135375977,73320.71099853516,1069.7200622558594,33873874944.0,5368709120.0,12887056384.0,0.0,11.714698473612469,1706.0,52.63671875,0.02138700923461914
75%,200.0,1970-01-01 00:29:00.617008723,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,31.282588958740234,5.470075607299805,17.41167449951172,3.7564315795898438,17.474950790405273,17.57464599609375,24.687551498413086,3.528778076171875,11.379690170288086,5.928867340087891,10.751289367675781,5.751689910888673,15582.833618164062,4096.0,2156.0,55.0,92.75,106924.8766479492,73365.2654876709,1070.834228515625,33873874944.0,5368709120.0,12914281472.0,0.0,14.973790645599365,1706.0,52.63671875,0.021472813005661014
max,200.0,1970-01-01 00:29:00.617010777,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,1706.0,99.96271514892578,85.65339660644531,100.0,44.25215148925781,100.0,100.0,100.0,59.739540100097656,61.23847579956055,96.18002319335938,63.33999633789063,100.0,15586.156127929688,4096.0,2156.0,56.0,94.0,106976.48400878906,73407.94757080078,1071.5861206054688,33873874944.0,5368709120.0,12924964864.0,0.0,58.23099104563395,1706.0,52.63671875,0.02149924275439453
std,41.61265023641279,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.856675016891156,19.95738929093313,22.898398348575196,7.420860127985651,25.0672690708066,29.265299394737912,25.506381891687994,11.298484728781077,13.974468912420912,18.76193051753866,13.97554720328944,30.533694902261516,4.119492227890637,0.0,684.7677904437885,3.3554435118833674,38.202232514680226,59.00524776458898,48.489046384434104,1.0768691021056325,0.0,0.0,350230561.3324758,0.0,8.451756490524055,0.0,16.717963633881556,0.004616295795234009
